trial,scenario,endpoint,GMR,CI_lower,CI_upper,pass,n_R,n_T
23,Vmax_down_125,Cmax,1.080063,1.008229,1.157016,TRUE,117,117
24,S00,AUCinf_A,0.9218493,0.8476459,1.002549,TRUE,95,95
24,S00,AUCinf_B,0.9362232,0.8663395,1.011744,TRUE,115,117
24,S00,AUCinf_C,0.9404433,0.8678286,1.019134,TRUE,117,117
24,S00,AUCinf_true,0.9342973,0.8647029,1.009493,TRUE,117,117
24,S00,AUClast,0.9397118,0.866754,1.018811,TRUE,117,117
24,S00,Cmax,0.9945272,0.929178,1.064472,TRUE,117,117
24,Vmax_down_125,AUCinf_A,1.091141,1.005004,1.18466,TRUE,95,101
24,Vmax_down_125,AUCinf_B,1.154267,1.067398,1.248204,TRUE,115,117
24,Vmax_down_125,AUCinf_C,1.171149,1.082614,1.266925,FALSE,117,117
24,Vmax_down_125,AUCinf_true,1.1626,1.0772,1.25477,FALSE,117,117
24,Vmax_down_125,AUClast,1.176649,1.087427,1.273192,FALSE,117,117
24,Vmax_down_125,Cmax,1.051775,0.9848783,1.123216,TRUE,117,117
25,S00,AUCinf_A,1.026619,0.9371685,1.124608,TRUE,83,93
25,S00,AUCinf_B,1.023113,0.9397131,1.113916,TRUE,116,117
25,S00,AUCinf_C,1.033647,0.9467936,1.128469,TRUE,117,117
25,S00,AUCinf_true,1.040632,0.9576799,1.13077,TRUE,117,117
25,S00,AUClast,1.037049,0.9495533,1.132607,TRUE,117,117
25,S00,Cmax,1.000241,0.9292666,1.076636,TRUE,117,117
25,Vmax_down_125,AUCinf_A,1.199957,1.100018,1.308977,FALSE,83,102
25,Vmax_down_125,AUCinf_B,1.282814,1.178158,1.396766,FALSE,116,117
25,Vmax_down_125,AUCinf_C,1.30403,1.197029,1.420597,FALSE,117,117
25,Vmax_down_125,AUCinf_true,1.301091,1.198548,1.412408,FALSE,117,117
25,Vmax_down_125,AUClast,1.311522,1.203256,1.429529,FALSE,117,117
25,Vmax_down_125,Cmax,1.05699,0.9839583,1.135443,TRUE,117,117
26,S00,AUCinf_A,1.045625,0.9570804,1.142362,TRUE,94,93
26,S00,AUCinf_B,1.002718,0.9217452,1.090803,TRUE,115,114
26,S00,AUCinf_C,0.9921951,0.9113959,1.080158,TRUE,117,117
26,S00,AUCinf_true,0.9953633,0.9186897,1.078436,TRUE,117,117
26,S00,AUClast,0.990039,0.9093391,1.077901,TRUE,117,117
26,S00,Cmax,1.035986,0.9659197,1.111135,TRUE,117,117
26,Vmax_down_125,AUCinf_A,1.220122,1.121084,1.327909,FALSE,94,102
26,Vmax_down_125,AUCinf_B,1.240832,1.142655,1.347444,FALSE,115,117
26,Vmax_down_125,AUCinf_C,1.255303,1.15688,1.362098,FALSE,117,117
26,Vmax_down_125,AUCinf_true,1.252218,1.158294,1.353759,FALSE,117,117
26,Vmax_down_125,AUClast,1.257836,1.158797,1.365339,FALSE,117,117
26,Vmax_down_125,Cmax,1.102877,1.03135,1.179364,TRUE,117,117
27,S00,AUCinf_A,1.020416,0.9382299,1.1098,TRUE,96,97
27,S00,AUCinf_B,1.050217,0.9695429,1.137603,TRUE,117,116
27,S00,AUCinf_C,1.052019,0.9678713,1.143482,TRUE,117,117
27,S00,AUCinf_true,1.034857,0.9568148,1.119266,TRUE,117,117
27,S00,AUClast,1.057124,0.9723693,1.149266,TRUE,117,117
27,S00,Cmax,1.005637,0.9321936,1.084866,TRUE,117,117
27,Vmax_down_125,AUCinf_A,1.24561,1.150014,1.349152,FALSE,96,97
27,Vmax_down_125,AUCinf_B,1.30857,1.208284,1.417178,FALSE,117,117
27,Vmax_down_125,AUCinf_C,1.32554,1.22145,1.438501,FALSE,117,117
27,Vmax_down_125,AUCinf_true,1.297849,1.200935,1.402583,FALSE,117,117
27,Vmax_down_125,AUClast,1.335128,1.229951,1.4493,FALSE,117,117
27,Vmax_down_125,Cmax,1.072114,0.9964489,1.153526,TRUE,117,117
28,S00,AUCinf_A,1.047873,0.9633867,1.139769,TRUE,94,94
28,S00,AUCinf_B,1.060827,0.9803473,1.147914,TRUE,116,116
28,S00,AUCinf_C,1.054338,0.9716496,1.144063,TRUE,117,117
28,S00,AUCinf_true,1.061252,0.982198,1.14667,TRUE,117,117
28,S00,AUClast,1.05082,0.9677483,1.141022,TRUE,117,117
28,S00,Cmax,1.04382,0.9702275,1.122994,TRUE,117,117
28,Vmax_down_125,AUCinf_A,1.251477,1.152777,1.358627,FALSE,94,98
28,Vmax_down_125,AUCinf_B,1.324096,1.221889,1.434853,FALSE,116,117
28,Vmax_down_125,AUCinf_C,1.33182,1.230039,1.442022,FALSE,117,117
28,Vmax_down_125,AUCinf_true,1.333142,1.235089,1.438979,FALSE,117,117
28,Vmax_down_125,AUClast,1.329998,1.228181,1.440255,FALSE,117,117
28,Vmax_down_125,Cmax,1.106546,1.030718,1.187953,TRUE,117,117
29,S00,AUCinf_A,1.078598,0.9880633,1.177429,TRUE,92,93
29,S00,AUCinf_B,1.065048,0.9841062,1.152646,TRUE,114,117
29,S00,AUCinf_C,1.087047,1.001061,1.18042,TRUE,117,117
29,S00,AUCinf_true,1.07025,0.9904245,1.15651,TRUE,117,117
29,S00,AUClast,1.088364,1.001784,1.182426,TRUE,117,117
29,S00,Cmax,1.049257,0.9775159,1.126264,TRUE,117,117
29,Vmax_down_125,AUCinf_A,1.297898,1.187864,1.418125,FALSE,92,98
29,Vmax_down_125,AUCinf_B,1.329134,1.227413,1.439286,FALSE,114,117
29,Vmax_down_125,AUCinf_C,1.367205,1.260846,1.482536,FALSE,117,117
29,Vmax_down_125,AUCinf_true,1.341348,1.242713,1.447813,FALSE,117,117
