model,weight,timing,definition_day,schedule,schedule_label,n_subjects,min_interval_day,pct_ge1,ge1_lo,ge1_hi,pct_ge2,ge2_lo,ge2_hi,pct_ge3,ge3_lo,ge3_hi,n_cliff_in_day29_57,pct_ge1_cliff_in_day29_57,pct_ge2_cliff_in_day29_57,pct_ge3_cliff_in_day29_57
k2016,base,nominal,1,daily_29_57,Day 29–57 매일,20000,1,89.21,88.7724633169616,89.6324772155187,32.615,31.9686765967233,33.2680004969475,0,0,0.0192036056104625,16760,100,37.2016706443914,0
k2016,base,nominal,2,daily_29_57,Day 29–57 매일,20000,1,91.065,90.6617466724761,91.452481406236,86.02,85.5324763177923,86.4936894047259,76.735,76.1443261954316,77.3154056366485,15517,100,100,93.0270026422633
k2016,base,windowed,1,current,현행,20000,7,19.895,19.3475370243374,20.4540254666007,0,0,0.0192036056104625,0,0,0.0192036056104625,16760,18.472553699284,0,0
k2016,base,windowed,2,current,현행,20000,7,42.4,41.716623531829,43.0862954162238,0,0,0.0192036056104625,0,0,0.0192036056104625,15517,38.7703808725914,0,0
k2016,base,windowed,1,plus_39_46,+Day 39·46,20000,3,29.45,28.8222752182274,30.0856174636785,0.03,0.0137499713718784,0.0654421120752178,0,0,0.0192036056104625,16760,29.8090692124105,0.035799522673031,0
k2016,base,windowed,2,plus_39_46,+Day 39·46,20000,3,59.945,59.2640461375099,60.6221342653342,2.45,2.24470296227811,2.67355966665744,0,0,0.0192036056104625,15517,61.4487336469679,3.15782689952955,0
k2016,base,windowed,1,plus_39_46_53,+Day 39·46·53,20000,3,30.97,30.332905364956,31.6144035273394,0.04,0.0202703403745733,0.0789179023514009,0,0,0.0192036056104625,16760,32.0047732696897,0.0477326968973747,0
k2016,base,windowed,2,plus_39_46_53,+Day 39·46·53,20000,3,62.345,61.6711908197933,63.0140678099815,2.8,2.58027010941882,3.03785809427746,0,0,0.0192036056104625,15517,64.6838950828124,3.60894502803377,0
k2016,base,windowed,1,plus_32_39_46_53,+Day 32·39·46·53,20000,3,37.23,36.5625416515694,37.9023629493035,0.03,0.0137499713718784,0.0654421120752178,0,0,0.0192036056104625,16760,39.0393794749403,0.035799522673031,0
k2016,base,windowed,2,plus_32_39_46_53,+Day 32·39·46·53,20000,3,74.145,73.5336028239024,74.7471237549484,4.42,4.14378834131064,4.71371766556386,0,0,0.0192036056104625,15517,79.3387897145067,4.93007669008185,0
k2016,base,windowed,1,plus_40_47,+Day 40·47,20000,3,29.075,28.4497153908182,29.7083213181298,0.005,0.000882628227297485,0.028319057022604,0,0,0.0192036056104625,16760,29.5763723150358,0.00596658711217184,0
k2016,base,windowed,2,plus_40_47,+Day 40·47,20000,3,58.91,58.2264915619292,59.590086355551,1.905,1.72457504441131,2.1038969038254,0,0,0.0192036056104625,15517,60.4562737642586,2.45537152800155,0
k2016,base,windowed,1,daily_29_57,Day 29–57 매일,20000,1,75.705,75.1057344656851,76.2943929606706,37.925,37.2549383031814,38.5996993675735,7.49,7.13329579724235,7.86303110824767,16760,84.3496420047733,43.782816229117,8.88424821002387
k2016,base,windowed,2,daily_29_57,Day 29–57 매일,20000,1,91.105,90.702537869696,91.4916748461316,82.755,82.2251679436588,83.2722517743058,57.595,56.9086948939429,58.2783880783648,15517,100,96.3201649803441,69.6010826835084
k2016,obese_110_130,nominal,1,current,현행,20000,7,20.61,20.0550669094249,21.1762209699529,0,0,0.0192036056104625,0,0,0.0192036056104625,10559,13.3345960791742,0,0
k2016,obese_110_130,nominal,2,current,현행,20000,7,42.74,42.0558503652438,43.4269379982908,0,0,0.0192036056104625,0,0,0.0192036056104625,8697,30.4587788892722,0,0
k2016,obese_110_130,nominal,1,plus_39_46,+Day 39·46,20000,3,24.57,23.9782871553711,25.1714797984424,0,0,0.0192036056104625,0,0,0.0192036056104625,10559,20.8353063737096,0,0
k2016,obese_110_130,nominal,2,plus_39_46,+Day 39·46,20000,3,50.19,49.497083141735,50.8828438845637,0,0,0.0192036056104625,0,0,0.0192036056104625,8697,47.5911233758767,0,0
