bin,n,pass_pct,lo,hi,config,model,ratio
0.51,81,0,0,4.52780854324152,F3C,k2016,1.66529119494589
-0.39,228,0,0,1.65693350975034,F3C,k2016,0.677056874498165
0.55,29,0,0,11.6969798499741,F3C,k2016,1.7332530178674
-0.65,45,0,6.93889390390723e-16,7.86515987328883,F3C,k2016,0.522045776761016
0.57,31,0,0,11.0255395460436,F3C,k2016,1.76826705143374
0.37,246,0,0,1.53755859368843,F3C,k2016,1.44773461466332
-0.51,133,0,0,2.80723316880717,F3C,k2016,0.600495578812266
-0.69,29,0,0,11.6969798499741,F3C,k2016,0.501576069066056
-0.77,7,0,0,35.4330435066687,F3C,k2016,0.463013068311228
-0.57,94,0,3.46944695195361e-16,3.92620762915447,F3C,k2016,0.565525438699537
-0.63,42,0,0,8.37987908657039,F3C,k2016,0.532591801006897
-0.79,7,0,0,35.4330435066687,F3C,k2016,0.453844795282356
0.59,37,0,0,9.40578258372025,F3C,k2016,1.80398841539786
-0.71,11,0,0,25.8832966968032,F3C,k2016,0.491644197460965
-0.73,13,0,0,22.8095372354198,F3C,k2016,0.481908990090202
-0.75,13,0,0,22.8095372354198,F3C,k2016,0.472366552741015
0.65,1,0,0,79.3450685622763,F3C,k2016,1.9155408290139
0.67,2,0,0,65.7619772493347,F3C,k2016,1.95423732063594
-0.83,7,0,0,35.4330435066687,F3C,k2016,0.436049286321536
-0.81,7,0,0,35.4330435066687,F3C,k2016,0.444858066222941
-0.89,1,0,0,79.3450685622763,F3C,k2016,0.410655752752345
0.03,538,81.5985130111524,78.104091155529,84.644890943405,G2,k2016,1.03045453395352
0.39,218,0,0,1.73162349414544,G2,k2016,1.47698079388264
0.01,547,83.5466179159049,80.2076601875628,86.4176807564025,G2,k2016,1.01005016708417
0.13,540,52.037037037037,47.8238620378396,56.221434554242,G2,k2016,1.13882838332462
-0.29,362,0.828729281767956,0.28223507266393,2.40785337505287,G2,k2016,0.748263567578565
-0.31,344,0.290697674418605,0.0513337218127703,1.62801147197142,G2,k2016,0.733446956224289
-0.23,399,5.0125313283208,3.26797133036535,7.61508399096097,G2,k2016,0.794533602503334
-0.11,544,57.5367647058824,53.3445369594572,61.6232970150865,G2,k2016,0.895834135296528
0.27,358,1.67597765363129,0.770321451050302,3.60768953539781,G2,k2016,1.30996445073325
0.29,337,1.48367952522255,0.635360535314108,3.42560636366155,G2,k2016,1.33642748802547
0.33,293,0,0,1.29411128619151,G2,k2016,1.39096812846378
-0.01,572,82.3426573426574,79.0050525878544,85.2487440661324,G2,k2016,0.990049833749168
-0.07,512,72.8515625,68.8398209279827,76.5229540096825,G2,k2016,0.932393819905948
-0.13,476,49.3697478991597,44.9014218323481,53.8481651635846,G2,k2016,0.878095430920561
-0.33,319,0,0,1.18989018161625,G2,k2016,0.718923733431926
0.19,460,22.1739130434783,18.6168655597249,26.1918626960731,G2,k2016,1.20924959765725
0.23,428,6.30841121495327,4.37140646454845,9.02273567702638,G2,k2016,1.25860000992948
0.63,11,0,0,25.8832966968032,G2,k2016,1.87761057926434
0.17,554,28.7003610108303,25.0902950579611,32.6037780037801,G2,k2016,1.18530485132037
-0.27,357,2.24089635854342,1.13977644679517,4.35888739453287,G2,k2016,0.763379494336853
0.09,549,68.3060109289617,64.2982079733657,72.0594126053745,G2,k2016,1.09417428370521
-0.19,457,15.5361050328228,12.503593112783,19.1431817225164,G2,k2016,0.826959133943362
-0.05,562,76.8683274021352,73.2067502139048,80.1650901297521,G2,k2016,0.951229424500714
0.11,516,58.1395348837209,53.8381340225825,62.3206387291256,G2,k2016,1.11627807045887
0.35,299,0,0,1.26847190462405,G2,k2016,1.41906754859326
-0.15,464,38.3620689655172,34.0502951650803,42.864961496388,G2,k2016,0.860707976425058
-0.03,562,79.3594306049822,75.8194289566806,82.5007939353949,G2,k2016,0.970445533548508
-0.25,419,3.34128878281623,2.00058850835819,5.52976551830231,G2,k2016,0.778800783071405
-0.09,544,65.625,61.5367359531882,69.4941393598904,G2,k2016,0.913931185271228
0.07,525,75.2380952380953,71.371486671213,78.738049103638,G2,k2016,1.07250818125422
0.21,434,13.1336405529954,10.2768084710742,16.6373762062048,G2,k2016,1.23367805995674
-0.67,25,0,0,13.3192250939048,G2,k2016,0.511708577786543
-0.17,451,24.390243902439,20.6540870359235,28.5589858886659,G2,k2016,0.843664816596384
0.05,555,78.3783783783784,74.7646595058171,81.601953068836,G2,k2016,1.05127109637602
-0.61,65,0,0,5.58015313228569,G2,k2016,0.5433508690745
-0.41,224,0,0,1.68602274606978,G2,k2016,0.663650250136319
-0.37,267,0,0,1.41834224251365,G2,k2016,0.690734330637355
-0.35,296,0,0,1.28116333071583,G2,k2016,0.704688089718713
0.31,336,0.297619047619048,0.052556403224744,1.66632122899969,G2,k2016,1.36342511413218
0.47,141,0,0,2.65218180759256,G2,k2016,1.59999419321736
-0.21,476,11.9747899159664,9.35836396302732,15.2000514582481,G2,k2016,0.810584245970187
-0.53,121,0,0,3.07706979474783,G2,k2016,0.588604969678355
0.49,95,0,0,3.8864853539473,G2,k2016,1.63231621995538
0.43,156,0,0,2.40329314374149,G2,k2016,1.53725752354828
0.15,491,40.9368635437882,36.6742291518233,45.3402123599884,G2,k2016,1.16183424272828
