scenario,n_trials,P2_minus_F3A,P2_minus_F3A_lo,P2_minus_F3A_hi,P2_minus_F3B,P2_minus_F3B_lo,P2_minus_F3B_hi,P2_minus_F3C,P2_minus_F3C_lo,P2_minus_F3C_hi,G2_minus_P2,G2_minus_P2_lo,G2_minus_P2_hi,P2_pass_AUCinfA_fail,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,model,region
V2_down_105,2000,4.05,3.18584490451548,4.91415509548453,0.65,0.297724607057314,1.00227539294269,0.15,-0.0196529274765803,0.31965292747658,-3.4,-4.33860517829376,-2.46139482170624,4.05,V2,down,1.05,0.723394162736675,1.05025804840559,1.01840551193171,k2016,범위 안
V2_down_111,2000,19.85,18.1014674843087,21.5985325156913,4.75,3.81755979550355,5.68244020449645,0.85,0.447563358395663,1.25243664160434,-17.2,-19.137857123123,-15.262142876877,19.85,V2,down,1.11,0.439773612093738,1.11045945165552,1.05394819804994,k2016,범위 안
V2_down_118,2000,20.5,18.7302896582039,22.2697103417961,11.6,10.1962272065701,13.0037727934299,1,0.563826484880151,1.43617351511985,-19,-20.8798905233598,-17.1201094766402,20.5,V2,down,1.18,0.145030162417582,1.18027553007479,1.13573943241727,k2016,범위 안
V2_up_070,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,V2,up,0.7,9.646616199112,0.699597927301349,0.951209777988548,k2016,범위 밖
V2_up_075,2000,0.05,-0.0479981992270027,0.147998199227003,0.1,-0.0385557131705266,0.238555713170527,0.05,-0.0479981992270027,0.147998199227003,0.2,-0.0399454939231512,0.439945493923151,0.05,V2,up,0.75,4.84056251502108,0.749527660769717,0.957058654679472,k2016,범위 밖
V2_up_080,10000,2.01,1.7349201908392,2.2850798091608,1.23,1.01395964142501,1.44604035857499,0.62,0.466143748304287,0.773856251695713,0.06,-0.335911368288786,0.455911368288786,2.01,V2,up,0.8,3.21003979693093,0.799717812019852,0.962983911224041,k2016,경계
V2_up_085,2000,9.5,8.21463110464565,10.7853688953543,4.65,3.72694300216792,5.57305699783208,2.05,1.42881516512901,2.67118483487099,-3.35,-5.07796964120496,-1.62203035879504,9.5,V2,up,0.85,2.33609006981602,0.849579037742249,0.9695041481082,k2016,범위 안
V2_up_090,2000,11.05,9.67565486580679,12.4243451341932,3.35,2.56120340600888,4.13879659399112,1.5,0.967149425029491,2.03285057497051,-6.05,-7.78608012270777,-4.31391987729223,11.05,V2,up,0.9,1.75708053104298,0.899763544323836,0.977285934955137,k2016,범위 안
V2_up_095,2000,3.15,2.3843209164966,3.9156790835034,0.55,0.225790726923438,0.874209273076562,0.4,0.123304969726386,0.676695030273614,-2.15,-3.03804191501083,-1.26195808498917,3.15,V2,up,0.95,1.33352143216332,0.949844014998027,0.987033824746741,k2016,범위 안
Vmax_down_105,2000,1,0.563826484880151,1.43617351511985,0.1,-0.0385557131705266,0.238555713170527,0,0,0,0.55,-0.149606820895703,1.2496068208957,1,Vmax,down,1.05,0.920858091018106,1.0501268585424,1.01254329055033,k2016,범위 안
Vmax_down_111,2000,1.65,1.09156729104322,2.20843270895678,0.1,-0.0385557131705266,0.238555713170527,0.2,0.00415072760084866,0.395849272399151,11.5,9.89066534188313,13.1093346581169,1.65,Vmax,down,1.11,0.834111210802917,1.11021177044599,1.02637811247337,k2016,범위 안
