set,n,fail_pct,lz_fail_pct,est_fail_pct,fail_per_arm,wt_fail_mean,wt_retained_mean,wt_diff,wt_diff_lo,wt_diff_hi,auclast_gm_ratio_fail_to_retained,extrap_true_median_fail,extrap_true_median_retained,auclast_over_true_fail_median,auclast_over_true_fail_p05,band,variant,distribution
iv,2884,71.8099861303745,5.13176144244105,66.6782246879334,84.0176837725382,113.835994674476,112.441218659118,1.39477601535887,0.424025648837005,2.36552638188074,0.854078035952844,1.63064020682674,0.409057340684693,0.943470383871747,0.783321264165471,above 100,base,sens_nct03389893
i,20000,9.165,1,8.165,10.72305,85.9214748890036,79.6403691414894,6.28110574751425,5.29522307968817,7.26698841534033,0.714920984661376,0.0840539851960531,0.704911701782807,0.947545629707741,0.842787076854834,all,struct2020,sens_nct03389893
ii,20000,17.51,1,16.51,20.4867,84.1509681888903,79.380770946023,4.77019724286727,4.03424102714323,5.50615345859131,0.774077225452147,1.94107650671388,0.591381665463986,0.945461957316577,0.846194783188535,all,struct2020,sens_nct03389893
iii,20000,34.655,1,33.655,40.54635,81.7691545400726,79.3923513312219,2.37680320885067,1.8188778954543,2.93472852224705,0.863563267012884,0.171209802415728,0.918982365579402,0.962070546824852,0.864898429276484,all,struct2020,sens_nct03389893
iv,20000,73.55,1,72.55,86.0535,80.9399682195016,78.2029711070159,2.73699711248564,2.15870021743952,3.31529400753176,0.868090361962022,0.954354528869622,0.355648393077757,0.960853644932777,0.866628011825217,all,struct2020,sens_nct03389893
i,12039,8.11529196777141,0.614668992441233,7.50062297533018,9.49489160229255,76.368991793924,74.7910584333615,1.57793336056247,1.050224461094,2.10564226003094,0.783682467766811,0.0422205627755523,0.673427594504017,0.953867599601955,0.84873777627782,60-90,struct2020,sens_nct03389893
i,2493,11.03088648215,1.44404332129964,9.58684316085038,12.9061371841155,94.5816061990588,94.5721843910656,0.00942180799322045,-0.355960732893078,0.374804348879519,0.731722696327688,0.417209399550955,0.82595558078295,0.937898090170722,0.842341864176716,above 90-100,struct2020,sens_nct03389893
i,2584,6.30804953560372,0.193498452012384,6.11455108359133,7.38041795665635,53.893752044177,53.9631029675522,-0.0693509233752323,-0.826482621766116,0.687780775015651,0.907132685580173,0.0108717736947539,0.587253411681299,0.955860008659384,0.85955320745222,below 60,struct2020,sens_nct03389893
i,2884,14.493758668516,2.94729542302358,11.5464632454924,16.9576976421637,115.04051483478,113.171987242403,1.86852759237689,0.421925187471523,3.31512999728226,0.693754877809429,1.59065916044811,0.953317845648427,0.93532182749741,0.818736920687258,above 100,struct2020,sens_nct03389893
ii,12039,15.7820416978154,0.614668992441233,15.1673727053742,18.4649887864441,75.8518967955972,74.7443129954507,1.10758380014651,0.705263080303865,1.50990451998916,0.832789628928139,1.64811483971608,0.574302218134082,0.948421338057955,0.850882458611781,60-90,struct2020,sens_nct03389893
ii,2493,20.4572803850782,1.44404332129964,19.0132370637786,23.9350180505415,94.5499710087316,94.5792039685686,-0.0292329598369463,-0.306975036562181,0.248509116888288,0.751680282945996,2.58044519351199,0.679117714098243,0.938191499472426,0.841574048666116,above 90-100,struct2020,sens_nct03389893
ii,2584,14.6284829721362,0.193498452012384,14.4349845201238,17.1153250773994,53.937692087332,53.9623328461619,-0.0246407588299675,-0.54042084458227,0.491139326922335,1.01188365387655,1.15582522314829,0.487615418023335,0.954435835487719,0.859367271084355,below 60,struct2020,sens_nct03389893
ii,2884,24.7572815533981,2.94729542302358,21.8099861303745,28.9660194174757,114.802736501953,112.9953464877,1.80739001425322,0.68405746761286,2.93072256089357,0.713706701121225,3.18013019901123,0.761667685502782,0.936071306142973,0.833720866564826,above 100,struct2020,sens_nct03389893
iii,12039,34.1639671069026,0.614668992441233,33.5492981144613,39.971841515076,75.2356197217295,74.7548687177688,0.480751003960677,0.169241924877067,0.792260083044287,0.898346578832379,0.146861387081831,0.880625188231243,0.964191152061326,0.87014170349915,60-90,struct2020,sens_nct03389893
iii,2493,36.5022061772964,1.44404332129964,35.0581628559968,42.7075812274368,94.6439498562905,94.5325662128239,0.111383643466681,-0.127149768872281,0.349917055805643,0.879633475771965,0.261477537679522,1.07518322998308,0.9561917919173,0.860450187314899,above 90-100,struct2020,sens_nct03389893
iii,2584,29.9922600619195,0.193498452012384,29.7987616099071,35.0909442724458,53.9342429076168,53.9692181394371,-0.0349752318202476,-0.417618962627721,0.347668498987226,0.892624299265063,0.0924394771757431,0.749336072725748,0.97237660922645,0.877553082525366,below 60,struct2020,sens_nct03389893
iii,2884,39.2857142857143,2.94729542302358,36.3384188626907,45.9642857142857,114.18611966385,112.961840183644,1.22427948020561,0.270123331016123,2.1784356293951,0.847982777331609,0.400468896012429,1.23453989156734,0.953097101944975,0.84545996567099,above 100,struct2020,sens_nct03389893
iv,12039,72.6140044854224,0.614668992441233,71.9993354929812,84.9583852479442,75.0963946610689,74.4490479967985,0.647346664270486,0.320567976673544,0.974125351867429,0.903456363015559,0.877904641969174,0.356766762991512,0.962260517764114,0.869883330730444,60-90,struct2020,sens_nct03389893
