pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,config,n_trials,n_pass,pass_pct,lo,hi,n_trials_10k,n_pass_10k,pass_pct_10k,lo_10k,hi_10k,class,class_10k
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUCinf_true_only,10000,453,4.53,4.13956809717817,4.95535271465116,10000,453,4.53,4.13956809717817,4.95535271465116,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,AUClast_only,10000,293,2.93,2.61710405911661,3.27904554749888,10000,293,2.93,2.61710405911661,3.27904554749888,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,F3A,10000,291,2.91,2.5982055888652,3.25795937768512,10000,291,2.91,2.5982055888652,3.25795937768512,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,F3B,10000,291,2.91,2.5982055888652,3.25795937768512,10000,291,2.91,2.5982055888652,3.25795937768512,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,F3C,10000,292,2.92,2.60765431326552,3.26850297331739,10000,292,2.92,2.60765431326552,3.26850297331739,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,G2_Ai,10000,1333,13.33,12.6778711476867,14.0102912928187,10000,1333,13.33,12.6778711476867,14.0102912928187,exceeding,exceeding
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,G2_Aii,10000,2491,24.91,24.0720740989009,25.7671949393397,10000,2491,24.91,24.0720740989009,25.7671949393397,exceeding,exceeding
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,G2_B,10000,691,6.91,6.42927245280774,7.42382052677717,10000,691,6.91,6.42927245280774,7.42382052677717,exceeding,exceeding
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,G2_Ci,10000,394,3.94,3.57604950653398,4.33932442337274,10000,394,3.94,3.57604950653398,4.33932442337274,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,G2_Cii,10000,379,3.79,3.43313215024983,4.1823569791681,10000,379,3.79,3.43313215024983,4.1823569791681,conservative,conservative
k2016,Vmax_down_125,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,M1,P2,10000,293,2.93,2.61710405911661,3.27904554749888,10000,293,2.93,2.61710405911661,3.27904554749888,conservative,conservative
