pk_model,scenario,endpoint,analysis_model,n_trials,mean_log_gmr,sd_log_gmr,se_median,df_median,true_ratio,bias_log,bias_mc_se,sd_se_ratio,bias_lo,bias_hi,bias_pct,sd_se_lo,sd_se_hi,pred_pct,theory_boundary_pct,bias_dir
k2016,ka_down_080,AUCinf_true,M1,10000,-0.2238666704339,0.0564694760962815,0.0553435355,231,0.799297411482507,0.000155502402044011,0.000564694760962815,1.0203445729679,-0.000951278991701561,0.00126228379578958,0.0155514493169306,1.00620175451189,1.03448469862352,5.14078706620981,4.83997172845759,none
k2016,ka_down_080,AUCinf_true,M2,10000,-0.2239095679651,0.055832865076562,0.0546922935,231,0.799297411482507,0.000112604870844718,0.00055832865076562,1.02085433803507,-0.000981699176192739,0.00120690891788218,0.0112611211011249,1.00670445381422,1.03500152811019,5.13966837500286,4.83809136193202,none
k2016,ka_down_080,AUClast,M0,10000,-0.226300916745901,0.0595519727840491,0.059497206,232,0.799297411482507,-0.00227874390995628,0.000595519727840492,1.0009204933766,-0.00344594112860674,-0.00111154669130582,-0.227614954405864,0.98704690870554,1.01479143650953,4.42889012900124,4.8510011681074,away_from_1
k2016,ka_down_080,AUClast,M1,10000,-0.226297940903801,0.0595380030844904,0.0580249955,231,0.799297411482507,-0.00227576806785698,0.000595380030844904,1.02607510041927,-0.00344269148542734,-0.00110884465028662,-0.227318047100333,1.0118528521201,1.04029464079457,4.82073082244115,4.84727475536331,away_from_1
k2016,ka_down_080,AUClast,M2,10000,-0.2263414499274,0.0589653480008903,0.057375368,231,0.799297411482507,-0.00231927709145549,0.000589653480008904,1.02771189198979,-0.00347497667563165,-0.00116357750727933,-0.231658964638681,1.01346695640767,1.04195411532836,4.8338774507921,4.84556738781094,away_from_1
k2016,ka_down_080,Cmax,M0,10000,-0.446820303979999,0.0530061700530716,0.0531731365,232,0.631952944916229,0.012120037873609,0.000530061700530716,0.996859947373457,0.0110811360309847,0.0131589397162333,1.21937831633845,0.983042645223496,1.01067461870151,2.09547505444829e-07,2.37354445657153e-07,toward_1
k2016,ka_down_080,Cmax,M1,10000,-0.446822807166999,0.0530021539014599,0.0523669205,231,0.631952944916229,0.012117534686609,0.000530021539014599,1.01213043263562,0.0110787115591099,0.0131563578141081,1.21912494562362,0.998101468948444,1.02615672520041,2.43030204817636e-07,1.65063941427735e-07,toward_1
k2016,ka_down_080,Cmax,M2,10000,-0.446843155324997,0.0527201074902721,0.052007296,231,0.631952944916229,0.0120971865286104,0.000527201074902721,1.01370599021861,0.0110638914091903,0.0131304816480306,1.21706534383137,0.999655188002124,1.02775411715464,2.14891203967507e-07,1.39394500996127e-07,toward_1
k2016,ke_down_125,AUCinf_A,M0,10000,0.211984821639801,0.0504930515525553,0.0516560275,184,1.24933521039854,-0.0106267565206105,0.000504930515525553,0.977486152076934,-0.0116164021457359,-0.00963711089548522,-1.05704920229458,0.96393738673007,0.991032337731445,7.07458963404087,5.1057911848199,toward_1
k2016,ke_down_125,AUCinf_A,M1,10000,0.212791698946899,0.0502333050558984,0.0501050375,183,1.24933521039854,-0.00981987921351221,0.000502333050558984,1.00255997325415,-0.010804433900852,-0.00883532452617247,-0.977182163481083,0.98866366403799,1.01645363660542,7.45206695551453,5.10908693867104,toward_1
