input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,analysis_model,target_pct,n_evaluable_per_arm,n_randomized_per_arm
k2020,ratio,equal,50,0.95,M0,90,131,146
k2020,ratio,equal,50,0.95,M1,85,109,122
k2020,ratio,equal,50,0.95,M1,90,128,143
k2020,ratio,equal,50,1,M0,85,86,96
k2020,ratio,equal,50,1,M0,90,97,108
k2020,ratio,equal,50,1,M1,85,84,94
k2020,ratio,equal,50,1,M1,90,95,106
k2020,ratio,equal,52,0.9,M0,85,251,279
k2020,ratio,equal,52,0.9,M0,90,296,329
k2020,ratio,equal,52,0.9,M1,85,246,274
k2020,ratio,equal,52,0.9,M1,90,290,323
k2020,ratio,equal,52,0.95,M0,85,120,134
k2020,ratio,equal,52,0.95,M0,90,140,156
k2020,ratio,equal,52,0.95,M1,85,117,130
k2020,ratio,equal,52,0.95,M1,90,138,154
k2020,ratio,equal,52,1,M0,85,92,103
k2020,ratio,equal,52,1,M0,90,104,116
k2020,ratio,equal,52,1,M1,85,90,100
k2020,ratio,equal,52,1,M1,90,102,114
k2020,ratio,mechanistic,35,0.9,M0,85,117,130
k2020,ratio,mechanistic,35,0.9,M0,90,139,155
k2020,ratio,mechanistic,35,0.9,M1,85,112,125
k2020,ratio,mechanistic,35,0.9,M1,90,133,148
k2020,ratio,mechanistic,35,0.95,M0,85,57,64
k2020,ratio,mechanistic,35,0.95,M0,90,66,74
