input_model,cv,gmr,n,analysis_model,analytic_pct,mc_trials,mc_pct,mc_lo,mc_hi,diff_pp,analytic_in_ci
k2016,43,0.9,140,M1,77.0779900149091,5000,75.74,74.5323815049501,76.9080971989184,-1.33799001490912,FALSE
k2016,46,0.9,100,M0,57.2457883928799,5000,55.92,54.5398206860314,57.2910897229391,-1.32578839287989,TRUE
k2016,46,0.9,100,M1,58.8166305172146,5000,57.64,56.2650186889175,59.0032508253621,-1.17663051721458,TRUE
k2016,46,0.9,117,M0,63.9171411532923,5000,64.46,63.1226795660732,65.7751184936758,0.542858846707659,TRUE
k2016,46,0.9,117,M1,65.4079028651413,5000,66,64.6751338029394,67.3002997348188,0.592097134858747,TRUE
k2016,46,0.9,130,M0,68.4117182662587,5000,68.02,66.7138201751862,69.2985118467139,-0.391718266258692,TRUE
k2016,46,0.9,130,M1,69.8227439885752,5000,69.16,67.865586357371,70.4249953040944,-0.662743988575201,TRUE
k2016,46,0.9,140,M0,71.5344818222894,5000,72.14,70.8807342168856,73.3652719409873,0.605518177710565,TRUE
k2016,46,0.9,140,M1,72.877149784719,5000,73.46,72.2184465438297,74.6655328809083,0.582850215281027,TRUE
k2016,50,0.9,100,M0,52.4453051090241,5000,53.14,51.7549501138831,54.5202287179019,0.694694890975903,TRUE
k2016,50,0.9,100,M1,53.845989437739,5000,54.44,53.0566883951385,55.8164944115894,0.594010562261047,TRUE
k2016,50,0.9,117,M0,58.7707638704162,5000,59.56,58.1928278081697,60.9124937306409,0.78923612958377,TRUE
k2016,50,0.9,117,M1,60.1249160049864,5000,60.68,59.3183770773086,62.025224809145,0.555083995013625,TRUE
k2016,50,0.9,130,M0,63.1056527992453,5000,63.78,62.4376594209412,65.101182713453,0.674347200754689,TRUE
k2016,50,0.9,130,M1,64.4096905595197,5000,65.04,63.7071919529817,66.349715572511,0.630309440480303,TRUE
k2016,50,0.9,140,M0,66.1666177577758,5000,66.36,65.0382660427113,67.6566147496464,0.193382242224203,TRUE
k2016,50,0.9,140,M1,67.4256225447755,5000,67.74,66.4310668341491,69.0216951008403,0.314377455224545,TRUE
k2016,52,0.9,100,M0,50.2330808325994,5000,51.1,49.7141188292772,52.4841922264437,0.866919167400596,TRUE
k2016,52,0.9,100,M1,51.5520702769766,5000,52.28,50.8943178838008,53.6621813953297,0.727929723023451,TRUE
k2016,52,0.9,117,M0,56.3821185210473,5000,56.94,55.5626998604271,58.3066444365755,0.557881478952751,TRUE
k2016,52,0.9,117,M1,57.6652665545007,5000,57.96,56.5861722423356,59.3216059426991,0.294733445499332,TRUE
k2016,52,0.9,130,M0,60.6181504536784,5000,60.8,59.4390156344708,62.144402003516,0.181849546321651,TRUE
k2016,52,0.9,130,M1,61.8620131492494,5000,62.16,60.8068547499985,63.4944747386977,0.297986850750561,TRUE
k2016,52,0.9,140,M0,63.6275729591718,5000,63.64,62.2966617575999,64.962395333339,0.0124270408282072,TRUE
k2016,52,0.9,140,M1,64.8354226610526,5000,65.08,63.7475110391628,66.3893350701743,0.244577338947394,TRUE
k2016,35,0.95,100,M0,96.4176135617235,5000,96.86,96.3394810180527,97.3085699556565,0.442386438276458,TRUE
k2016,35,0.95,100,M1,96.8257180498614,5000,97.24,96.7483735393513,97.6590939808798,0.414281950138616,TRUE
k2016,35,0.95,117,M0,98.2891671472178,5000,98.36,97.9690142829181,98.676733584956,0.0708328527822459,TRUE
k2016,35,0.95,117,M1,98.5065740421749,5000,98.54,98.1683158393575,98.8371556558163,0.0334259578250737,TRUE
k2016,35,0.95,130,M0,99.044680194795,5000,99.08,98.775116231898,99.3095261451752,0.0353198052050345,TRUE
