input_model,cmax_cv_rule,cmax_gmr_rule,cv,gmr,n,analysis_model,power_pct
k2016,ratio,equal,52,0.95,130,M0,86.8700680259964
k2016,ratio,equal,52,0.95,130,M1,87.5180156904013
k2016,ratio,equal,52,0.95,140,M0,89.2382074310082
k2016,ratio,equal,52,0.95,140,M1,89.7982809259084
k2016,ratio,equal,52,1,100,M0,87.8856981258848
k2016,ratio,equal,52,1,100,M1,88.6054551965535
k2016,ratio,equal,52,1,117,M0,93.3024023398136
k2016,ratio,equal,52,1,117,M1,93.7496007896362
k2016,ratio,equal,52,1,130,M0,95.7873771824405
k2016,ratio,equal,52,1,130,M1,96.0910288895868
k2016,ratio,equal,52,1,140,M0,97.0666481381354
k2016,ratio,equal,52,1,140,M1,97.2895829667012
k2016,ratio,mechanistic,35,0.9,100,M0,79.4168846642045
k2016,ratio,mechanistic,35,0.9,100,M1,81.2805630319945
k2016,ratio,mechanistic,35,0.9,117,M0,84.9477314089304
k2016,ratio,mechanistic,35,0.9,117,M1,86.4677363101692
k2016,ratio,mechanistic,35,0.9,130,M0,88.2167461329157
k2016,ratio,mechanistic,35,0.9,130,M1,89.4952838844177
k2016,ratio,mechanistic,35,0.9,140,M0,90.2693948838722
k2016,ratio,mechanistic,35,0.9,140,M1,91.3792378336294
k2016,ratio,mechanistic,35,0.95,100,M0,97.6780208280101
k2016,ratio,mechanistic,35,0.95,100,M1,98.0236047798144
k2016,ratio,mechanistic,35,0.95,117,M0,98.9291369118756
k2016,ratio,mechanistic,35,0.95,117,M1,99.1055220542891
k2016,ratio,mechanistic,35,0.95,130,M0,99.4145741016134
k2016,ratio,mechanistic,35,0.95,130,M1,99.5176049815941
k2016,ratio,mechanistic,35,0.95,140,M0,99.6344870698884
k2016,ratio,mechanistic,35,0.95,140,M1,99.7018244047124
k2016,ratio,mechanistic,35,1,100,M0,99.8072817558064
k2016,ratio,mechanistic,35,1,100,M1,99.8466774609764
k2016,ratio,mechanistic,35,1,117,M0,99.9537115771916
k2016,ratio,mechanistic,35,1,117,M1,99.964112251849
