input_model,cv,gmr,n,analysis_model,n_trials,n_pass,n_pass_auc,n_pass_cmax,power_pct,lo,hi,analytic_pct,diff_pp,analytic_in_ci
k2016,50,0.9,140,M0,5000,3318,3378,4532,66.36,65.0382660427113,67.6566147496464,66.1666177577758,0.193382242224203,TRUE
k2016,50,0.9,140,M1,5000,3387,3444,4564,67.74,66.4310668341491,69.0216951008403,67.4256225447755,0.314377455224545,TRUE
k2016,50,0.95,100,M0,5000,4110,4121,4906,82.2,81.1151470545456,83.2354129401928,81.7527747722896,0.447225227710376,TRUE
k2016,50,0.95,100,M1,5000,4155,4165,4908,83.1,82.0359367415925,84.1132413896448,82.6829098504557,0.417090149544279,TRUE
k2016,50,0.95,117,M0,5000,4396,4401,4950,87.92,86.9874489634856,88.7943285210013,87.2488251642765,0.671174835723534,TRUE
k2016,50,0.95,117,M1,5000,4437,4440,4954,88.74,87.8339135091347,89.5866049441623,87.961670690266,0.778329309734019,TRUE
k2016,50,0.95,130,M0,5000,4536,4538,4975,90.72,89.8841949698732,91.4932833837214,90.306043945042,0.413956054957978,TRUE
k2016,50,0.95,130,M1,5000,4574,4575,4979,91.48,90.6739669066383,92.2223445399998,90.884268552574,0.59573144742599,TRUE
k2016,50,0.95,140,M0,5000,4582,4583,4983,91.64,90.8404611743156,92.3756046077,92.1578065332495,-0.517806533249456,TRUE
k2016,50,0.95,140,M1,5000,4607,4608,4985,92.14,91.361303279452,92.8539948006186,92.6479272298014,-0.507927229801425,TRUE
k2016,50,1,100,M0,5000,4582,4585,4985,91.64,90.8404611743156,92.3756046077,91.4800296768546,0.159970323145402,TRUE
k2016,50,1,100,M1,5000,4616,4618,4988,92.32,91.549019326836,93.0260023805343,92.0790873012339,0.240912698766081,TRUE
k2016,50,1,117,M0,5000,4768,4768,4998,95.36,94.7413123077758,95.9090417717686,95.4660224067135,-0.106022406713521,TRUE
k2016,50,1,117,M1,5000,4792,4792,4999,95.84,95.2504468332838,96.3591702523934,95.8195346859581,0.0204653140418571,TRUE
k2016,50,1,130,M0,5000,4856,4856,5000,97.12,96.6190258200132,97.5486259486847,97.2323968812155,-0.112396881215545,TRUE
k2016,50,1,130,M1,5000,4868,4868,5000,97.36,96.8779459227996,97.7693373489646,97.4635174775967,-0.103517477596682,TRUE
k2016,50,1,140,M0,5000,4902,4902,4998,98.04,97.6172691852521,98.3889700118669,98.1181116138185,-0.0781116138184359,TRUE
k2016,50,1,140,M1,5000,4910,4910,5000,98.2,97.7927694912989,98.5332240411975,98.2829754659034,-0.0829754659033881,TRUE
k2016,52,0.9,100,M0,5000,2555,2651,4031,51.1,49.7141188292772,52.4841922264437,50.2330808325994,0.866919167400596,TRUE
k2016,52,0.9,100,M1,5000,2614,2702,4065,52.28,50.8943178838008,53.6621813953297,51.5520702769766,0.727929723023451,TRUE
k2016,52,0.9,117,M0,5000,2847,2894,4345,56.94,55.5626998604271,58.3066444365755,56.3821185210473,0.557881478952751,TRUE
k2016,52,0.9,117,M1,5000,2898,2947,4378,57.96,56.5861722423356,59.3216059426991,57.6652665545007,0.294733445499332,TRUE
k2016,52,0.9,130,M0,5000,3040,3079,4468,60.8,59.4390156344708,62.144402003516,60.6181504536784,0.181849546321651,TRUE
k2016,52,0.9,130,M1,5000,3108,3144,4503,62.16,60.8068547499985,63.4944747386977,61.8620131492494,0.297986850750561,TRUE
k2016,52,0.9,140,M0,5000,3182,3223,4562,63.64,62.2966617575999,64.962395333339,63.6275729591718,0.0124270408282072,TRUE
k2016,52,0.9,140,M1,5000,3254,3291,4597,65.08,63.7475110391628,66.3893350701743,64.8354226610526,0.244577338947394,TRUE
k2016,52,0.95,100,M0,5000,3918,3925,4914,78.36,77.1970556836985,79.4794002619779,79.0454426076357,-0.685442607635679,TRUE
k2016,52,0.95,100,M1,5000,3967,3975,4918,79.34,78.1954698113907,80.4394814384734,80.0026606825803,-0.662660682580267,TRUE
k2016,52,0.95,117,M0,5000,4243,4247,4960,84.86,83.8397367166872,85.8267391037034,84.9854411490994,-0.125441149099402,TRUE
k2016,52,0.95,117,M1,5000,4290,4294,4965,85.8,84.8049974348013,86.7400351059326,85.7350215708594,0.0649784291406519,TRUE
k2016,52,0.95,130,M0,5000,4414,4416,4968,88.28,87.3588949246197,89.1423298144667,88.349918864129,-0.0699188641289652,TRUE
k2016,52,0.95,130,M1,5000,4448,4450,4971,88.96,88.0612584761155,89.7989221883257,88.9693813615792,-0.00938136157922997,TRUE
k2016,52,0.95,140,M0,5000,4494,4495,4987,89.88,89.0131855227964,90.6855825700659,90.4201910914461,-0.54019109144609,TRUE
k2016,52,0.95,140,M1,5000,4525,4525,4989,90.5,89.6558899562377,91.2819261862127,90.9534286687509,-0.453428668750902,TRUE
k2016,52,1,100,M0,5000,4432,4432,4994,88.64,87.7306100544386,89.4900619392474,89.0878725974751,-0.447872597475055,TRUE
k2016,52,1,100,M1,5000,4472,4472,4996,89.44,88.5576650216775,90.2617786488965,89.7696760890422,-0.329676089042181,TRUE
k2016,52,1,117,M0,5000,4686,4686,4999,93.72,93.0134082688333,94.359463873091,93.881617349815,-0.161617349814961,TRUE
k2016,52,1,117,M1,5000,4712,4712,4999,94.24,93.559601017026,94.8524727148754,94.3059129887668,-0.0659129887667973,TRUE
k2016,52,1,130,M0,5000,4822,4822,5000,96.44,95.8897185251554,96.9189773181877,96.1105259077981,0.32947409220192,TRUE
k2016,52,1,130,M1,5000,4835,4835,5000,96.7,96.1678956509556,97.1604009873761,96.3996115258699,0.300388474130074,TRUE
k2016,52,1,140,M0,5000,4862,4862,5000,97.24,96.7483735393513,97.6590939808798,97.2704179122653,-0.0304179122652357,TRUE
k2016,52,1,140,M1,5000,4874,4874,5000,97.48,97.007757917164,97.8793411061334,97.4833526697959,-0.00335266979590187,TRUE
k2020,35,0.9,100,M0,5000,3624,3949,4015,72.48,71.22516611751,73.7003180030402,73.5024458932408,-1.02244589324079,TRUE
k2020,35,0.9,100,M1,5000,3703,4043,4055,74.06,72.8269567502387,75.2561014321652,75.1566423536984,-1.09664235369834,TRUE
k2020,35,0.9,117,M0,5000,4003,4248,4317,80.06,78.9296337687519,81.1442119903113,80.0858233972442,-0.0258233972442099,TRUE
k2020,35,0.9,117,M1,5000,4073,4315,4354,81.46,80.3588061743811,82.5128900192359,81.4892384436186,-0.0292384436185529,TRUE
k2020,35,0.9,130,M0,5000,4185,4404,4440,83.7,82.6503839557986,84.6978729331046,84.1257315936776,-0.425731593677583,TRUE
k2020,35,0.9,130,M1,5000,4244,4464,4472,84.88,83.8602599924728,85.84618511984,85.338143580196,-0.458143580196023,TRUE
k2020,35,0.9,140,M0,5000,4348,4521,4571,86.96,85.9981659522179,87.8650855200035,86.7254421338362,0.234557866163769,TRUE
k2020,35,0.9,140,M1,5000,4397,4570,4600,87.94,87.0080779680581,88.813668808351,87.797784282067,0.142215717932984,TRUE
k2020,35,0.95,100,M0,5000,4833,4897,4893,96.66,96.1250483670754,97.1233096874119,96.6873509862509,-0.0273509862508945,TRUE
k2020,35,0.95,100,M1,5000,4856,4919,4902,97.12,96.6190258200132,97.5486259486847,97.051842167212,0.0681578327880033,TRUE
k2020,35,0.95,117,M0,5000,4927,4954,4965,98.54,98.1683158393575,98.8371556558163,98.4266893720346,0.113310627965404,TRUE
k2020,35,0.95,117,M1,5000,4932,4959,4967,98.64,98.2795771379468,98.9257408168381,98.6201203402375,0.0198796597624806,TRUE
