scenario,lloq,resid,model,config,n_trials,n_pass,pass_pct,lo,hi,diff_vs_ref_pp,diff_lo,diff_hi,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,class
Vmax_down_125,0.1,scaled,M1,P2,5000,143,2.86,2.43294769785482,3.35943124152517,0,0,0,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.2,scaled,M1,P2,5000,141,2.82,2.39611282416891,3.31632753136668,-0.04,-0.0954306079724255,0.0154306079724255,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_down_125,0.5,scaled,M1,P2,5000,138,2.76,2.34090601912026,3.25162646064874,-0.1,-0.217576926748398,0.0175769267483981,Vmax,down,1.25,0.660178624277622,1.25088393369916,1.0544021629266,conservative
Vmax_up_080,0.02,fixed,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.05,fixed,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.078,fixed,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.1,fixed,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.2,fixed,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.5,fixed,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.02,fixed,M0,AUClast_only,5000,151,3.02,2.58051954095261,3.53161373380496,0.7,0.468883917794584,0.931116082205416,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.05,fixed,M0,AUClast_only,5000,122,2.44,2.04746435065703,2.9055594583568,0.12,0.00916651391774676,0.230833486082253,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.078,fixed,M0,AUClast_only,5000,116,2.32,1.93789813288477,2.77530992459588,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.1,fixed,M0,AUClast_only,5000,113,2.26,1.88322203872684,2.71007814298722,-0.06,-0.127881560940694,0.00788156094069432,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.2,fixed,M0,AUClast_only,5000,112,2.24,1.86501320177961,2.68831768801224,-0.08,-0.158375031578527,-0.00162496842147305,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.5,fixed,M0,AUClast_only,5000,111,2.22,1.84681280732392,2.66654879054574,-0.1,-0.217576926748398,0.0175769267483981,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.02,fixed,M0,G2_Aii,5000,613,12.26,11.3797698011583,13.1981763416546,-10.02,-10.9904671246878,-9.04953287531217,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.05,fixed,M0,G2_Aii,5000,930,18.6,17.5457216124864,19.7024900696632,-3.68,-4.35814601795677,-3.00185398204323,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.078,fixed,M0,G2_Aii,5000,1114,22.28,21.1481082110409,23.454453184793,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.1,fixed,M0,G2_Aii,5000,1151,23.02,21.8741544269955,24.2072707699598,0.74,0.334998115731645,1.14500188426836,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.2,fixed,M0,G2_Aii,5000,1183,23.66,22.502496543,24.8579459954656,1.38,0.785392253774906,1.97460774622509,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.5,fixed,M0,G2_Aii,5000,1234,24.68,23.5046758321386,25.8942005943591,2.4,1.63466356269309,3.16533643730691,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.02,fixed,M0,G2_B,5000,377,7.54,6.84029564643133,8.30489760274292,-7.72,-8.46403584189153,-6.97596415810847,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.05,fixed,M0,G2_B,5000,661,13.22,12.3093382093843,14.1871339456941,-2.04,-2.50039848425694,-1.57960151574306,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.078,fixed,M0,G2_B,5000,763,15.26,14.2899495705959,16.2833903605467,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.1,fixed,M0,G2_B,5000,785,15.7,14.7179896829004,16.7346746705305,0.44,0.168666271041944,0.711333728958056,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.2,fixed,M0,G2_B,5000,812,16.24,15.243690728382,17.2881445069483,0.98,0.583059515352756,1.37694048464724,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.5,fixed,M0,G2_B,5000,877,17.54,16.5108866518422,18.6189525584309,2.28,1.69142847518031,2.86857152481969,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,exceeding
Vmax_up_080,0.02,fixed,M0,P2,5000,151,3.02,2.58051954095261,3.53161373380496,0.7,0.468883917794584,0.931116082205416,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.05,fixed,M0,P2,5000,122,2.44,2.04746435065703,2.9055594583568,0.12,0.00916651391774676,0.230833486082253,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.078,fixed,M0,P2,5000,116,2.32,1.93789813288477,2.77530992459588,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.1,fixed,M0,P2,5000,113,2.26,1.88322203872684,2.71007814298722,-0.06,-0.127881560940694,0.00788156094069432,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.2,fixed,M0,P2,5000,112,2.24,1.86501320177961,2.68831768801224,-0.08,-0.158375031578527,-0.00162496842147305,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.5,fixed,M0,P2,5000,111,2.22,1.84681280732392,2.66654879054574,-0.1,-0.217576926748398,0.0175769267483981,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,conservative
Vmax_up_080,0.02,scaled,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.05,scaled,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.078,scaled,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.1,scaled,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
Vmax_up_080,0.2,scaled,M0,AUCinf_true_only,5000,248,4.96,4.39200857923503,5.59714601197571,0,0,0,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,nominal
