pk_model,scenario,mechanism,direction,target,multiplier,auc_ratio,cmax_ratio,analysis_model,endpoint,n,mean_log_gmr,sd_log_gmr,bias_pct,bias_mc_se_pct,bias_dir,config
k2016,Vmax_up_080,Vmax,up,0.8,1.39486202241965,0.799417254503779,0.93845337546823,M1,AUCinf_Ci,10000,-0.233206601660199,0.050935545279779,-0.9290923201831,0.050935545279779,away_from_1,C_i
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_A,10000,-0.147402973959753,0.0601264302054784,7.96308734543885,0.0601264302054784,toward_1,A_ii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_A,10000,-0.148942051942014,0.0597506416375136,7.79705153861079,0.0597506416375136,toward_1,A_ii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_Ai,10000,-0.152319553111598,0.0579328800060343,7.43358102752409,0.0579328800060343,toward_1,A_i
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_Ai,10000,-0.15387952121923,0.0576337192201425,7.26611871932248,0.0576337192201425,toward_1,A_i
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_B,10000,-0.1873577876558,0.0543153536113743,3.73448141168395,0.0543153536113743,toward_1,B
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_B,10000,-0.18803143305509,0.0542681485089842,3.66462468750537,0.0542681485089842,toward_1,B
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_C,10000,-0.230920426640501,0.0596796776577194,-0.687451546750229,0.0596796776577194,away_from_1,C_ii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_C,10000,-0.230917315810901,0.0596659143874638,-0.687142601854329,0.0596659143874638,away_from_1,C_ii
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M0,AUCinf_Ci,10000,-0.2270376022625,0.0593795676893065,-0.301088758558943,0.0593795676893065,away_from_1,C_i
k2016,ka_down_080,ka,down,0.8,0.440433361793372,0.799297411482507,0.631952944916229,M1,AUCinf_Ci,10000,-0.227034542628299,0.0593650762587501,-0.300783715893638,0.0593650762587501,away_from_1,C_i
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,AUCinf_A,10000,0.211984821639801,0.0504930515525553,-1.05704920229458,0.0504930515525553,toward_1,A_ii
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,AUCinf_A,10000,0.212791698946899,0.0502333050558984,-0.977182163481083,0.0502333050558984,toward_1,A_ii
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,AUCinf_Ai,10000,0.221509301020001,0.0495302226417028,-0.110166985611548,0.0495302226417028,toward_1,A_i
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,AUCinf_Ai,10000,0.2218282979134,0.0493190106077651,-0.0782973563117184,0.0493190106077651,none,A_i
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M0,AUCinf_B,10000,0.2236340574851,0.0467850133875933,0.102300223487939,0.0467850133875933,away_from_1,B
k2016,ke_down_125,ke,down,1.25,0.632567348266282,1.24933521039854,1.06710162104024,M1,AUCinf_B,10000,0.223756979608099,0.0467684375132218,0.114605767044851,0.0467684375132218,away_from_1,B
